	LGd	Chrna2	LP	LGv	Chrna3	Chrna1
Sim1	0.0	0.0	0.0	0.0	0.0	0.6062
Arhgef1	21.321270963704624	21.509445901639353	20.389795041322316	19.72171	25.03566428571429	35.09756435643565
Rasa3	32.22484724999999	63.58030850000003	33.110078350515465	21.40964285714286	65.66433823529412	70.48897156862748
Carns1	19.753457097791824	26.68020384615385	21.708386046511635	8.60135	35.71883333333333	18.53454
Sec63	57.30504567010319	45.58574182692309	67.58869776536308	76.00005714285716	88.11257826086958	45.078104999999994
Mgat5b	36.08208697435897	25.105672727272726	34.29528176470586	35.538090909090904	26.479320588235293	21.978637974683544
Sox5	56.189028324873114	44.17784601226994	42.78773407407406	16.995624999999997	50.34172	27.316223611111113
Avil	9.567810000000001	16.251616666666667	3.1461333333333332	4.1391	1.9704	11.15826
Tcirg1	10.77968	18.89916153846154	13.517009999999999	1.6991	2.54085	44.26636666666666
Kif3c	77.50964719438878	53.177919072164926	75.15740842696633	68.70967142857143	46.6886945945946	55.26301443298973
Ntrk1	0.0	15.114446511627907	0.0	0.0	69.150125	26.075257142857147
Sart1	31.104244064171105	28.88823298969073	41.165041807909596	44.75812857142857	60.711463043478254	30.45546132075472
Vac14	21.975569851951544	38.58431325966853	32.02488108108109	18.36645	62.2513135135135	47.44295196078431
Spice1	19.912714012738846	32.273360550458726	20.720682666666665	31.292949999999998	45.49324210526316	40.4431
Cog4	71.09151042311669	88.8639258215962	88.07420277777777	71.20018	94.38885454545458	107.04809754098362
Zer1	52.71104800399209	66.58626141078838	53.49139447513812	58.956146666666676	74.89193541666666	78.84956906474821
Cog5	17.69765402298848	32.138656962025316	16.18444615384615	20.922707692307696	19.25996818181818	37.00842868217053
Rtn3	1103.54248992095	1174.2491158730159	1003.7219523316057	852.2899666666668	1143.820172222222	1125.3243260273969
Large	65.11203880288957	55.15215598086124	53.77237305389222	42.82207857142857	63.33382307692307	51.681440909090924
Ezh2	12.790481468531475	20.483514925373136	16.675032142857145	12.751999999999999	21.614227272727273	21.542588235294115
Cdh18	17.659394642857134	39.25371865284973	21.274344	21.0305	32.92745937500001	34.26677073170732
